epsilon,n_clusters_db,n_noise_db,ARAND_db,AMIS_db,Exec_time_db,n_clusters_dbp_uni,n_noise_dbp_uni,ARAND_dbp_uni,AMIS_dbp_uni,Exec_time_dbp_uni,n_clusters_dbp_kg,n_noise_dbp_kg,ARAND_dbp_kg,AMIS_dbp_kg,Exec_time_dbp_kg
12.5,18,799,0.126540044,0.087249903,0.892714262,15,1099,0.131747853,0.076398933,22.39114022,12,1093,0.120022015,0.075399776,11.40061307
13.5,15,746,0.126940181,0.087150737,0.92253232,13,1002,0.138932715,0.083333882,24.67395544,10,967,0.128502673,0.079880633,11.93337417
14.5,14,699,0.122452617,0.078844931,0.959403992,12,874,0.126861241,0.08714645,24.71354961,11,846,0.127459217,0.085284696,12.60838485
15.5,14,671,0.122423852,0.079066512,1.01927352,11,807,0.125112763,0.079848366,27.93999767,11,767,0.12094341,0.08928676,13.09876108
16.5,12,645,0.112315874,0.079872845,1.03131628,12,790,0.126221796,0.084177601,28.45065427,12,709,0.112455384,0.086486708,13.82929301
17.5,11,624,0.114296297,0.081821876,1.072097778,10,752,0.116543125,0.080817595,30.34276056,9,667,0.112993487,0.083428723,14.2692647
18.5,10,590,0.108839482,0.08007041,1.10522604,9,698,0.116829605,0.079871718,32.2553041,9,632,0.111366747,0.083007592,14.90223122
19.5,11,559,0.107122974,0.081634851,1.136958122,10,692,0.12014615,0.085430648,33.83861947,9,600,0.107716023,0.080059833,15.55495572
20.5,12,525,0.105228097,0.081484683,1.163885355,10,658,0.123408199,0.078618383,33.31280208,9,587,0.106824967,0.079586648,16.03738832
21.5,13,498,0.103081781,0.08013079,1.190937996,10,633,0.10948961,0.080084008,36.4574163,10,562,0.105981721,0.078000294,16.60978937
22.5,11,481,0.093445069,0.071722791,1.208948135,10,563,0.107200998,0.078507613,36.62150455,9,519,0.088986959,0.068283191,17.20142293
23.5,9,468,0.087026352,0.063605902,1.233850002,9,549,0.105362701,0.077251885,38.34691,9,481,0.088184561,0.064090384,17.74945784
24.5,9,445,0.084598504,0.063055762,1.251681805,7,555,0.092470525,0.066740329,39.46888638,8,459,0.085450599,0.063109441,18.04554844
25.5,9,428,0.085284514,0.063515245,1.264763832,11,505,0.100269302,0.072346252,39.70351744,6,442,0.079645046,0.063278095,18.49320197
26.5,10,404,0.082547418,0.068912193,1.277755737,10,499,0.094030487,0.069469228,42.86454463,6,437,0.079489385,0.063275718,18.91186833
27.5,8,393,0.077852892,0.066781693,1.288075209,8,470,0.085988551,0.064501983,44.2718935,5,415,0.077690904,0.062432012,19.17813158
28.5,8,366,0.077768677,0.067836058,1.298320532,6,506,0.088991979,0.070211106,44.86840034,5,394,0.079188952,0.066872135,19.61228728
29.5,7,362,0.077585849,0.068561828,1.375252724,7,448,0.087588235,0.067963637,43.72888017,5,383,0.07936457,0.068709366,19.95383525
30.5,7,359,0.077640527,0.069352218,1.345434427,5,465,0.085271486,0.066836377,44.54980016,5,376,0.077810542,0.067545451,20.5765717
31.5,6,358,0.07786727,0.068338162,1.325514793,8,422,0.084765646,0.067194552,46.15643454,4,371,0.077838233,0.068288842,20.54862905
32.5,6,355,0.07820383,0.069313183,1.336418867,5,457,0.083816404,0.069934503,48.48672509,4,370,0.078091177,0.068798056,21.40424204
33.5,5,353,0.075239808,0.071362234,1.343372345,8,413,0.081909818,0.07026398,47.70675254,3,366,0.073022009,0.073754296,21.57974052
34.5,5,353,0.075239808,0.071362234,1.38628602,7,418,0.083684905,0.066437273,47.37830925,3,364,0.072959842,0.074008993,21.55440903
35.5,5,352,0.074927974,0.071056033,1.36648941,6,415,0.082192332,0.069457178,49.03183198,3,363,0.072645967,0.073683393,25.18831158
36.5,4,352,0.071943584,0.073346897,1.450115681,7,404,0.078883108,0.06831422,50.22910714,3,363,0.072645967,0.073683393,22.79212856
